temperature,humidity,milk_yield,weight,heart_rate,activity_level,disease_label
39.19,77.75,9.41,449.29,89.48,34.52,1
38.49,55.06,19.25,513.83,61.41,64.22,0
39.76,69.14,8.26,389.8,82.95,43.2,1
39.75,81.59,12.27,432.78,104.01,45.11,1
38.93,64.1,25.99,463.83,64.38,71.63,0
39.53,84.94,10.43,473.43,71.68,41.45,1
38.59,61.66,23.01,397.99,70.34,89.2,0
38.31,53.46,24.49,464.6,66.11,80.56,0
38.28,65.1,21.1,499.79,71.19,86.47,0
40.53,56.85,13.51,307.9,83.4,33.73,1
39.3,93.9,8.99,355.22,79.66,34.62,1
38.54,45.23,25.21,469.38,70.69,76.26,0
39.13,76.63,4.54,389.4,90.07,6.79,1
38.85,54.33,20.76,440.58,70.67,82.3,0
39.08,69.57,19.91,424.39,62.11,72.1,0
39.65,78.54,9.1,350.36,76.58,37.56,1
38.59,66.53,23.39,458.87,74.27,72.09,0
37.79,47.55,19.93,462.75,70.4,68.11,0
38.22,43.03,18.69,441.96,69.36,73.65,0
38.08,84.88,17.88,474.85,66.06,71.9,0
38.27,53.45,22.44,491.55,63.97,88.55,0
38.75,59.12,23.26,471.66,78.41,78.73,0
40.95,72.43,10.93,430.23,96.0,38.92,1
41.52,77.33,2.57,508.59,73.85,44.9,1
37.85,55.71,21.65,444.77,65.41,72.29,0
38.64,47.09,21.85,449.61,57.57,64.44,0
38.62,44.17,20.55,479.21,64.27,79.55,0
38.63,58.56,27.5,476.84,69.8,77.92,0
38.57,72.86,24.82,495.19,64.57,75.42,0
39.06,72.68,3.61,405.6,76.27,26.05,1
39.98,76.78,9.8,413.54,72.87,28.31,1
37.8,51.43,25.07,461.15,59.03,75.94,0
37.93,63.31,21.87,481.88,67.93,72.8,0
41.36,90.3,8.71,488.37,91.35,37.75,1
38.02,52.63,18.29,492.5,61.25,94.1,0
38.25,70.1,23.84,513.98,64.43,72.48,0
38.16,60.26,19.6,487.24,68.96,74.82,0
38.92,57.33,24.57,425.38,70.67,73.83,0
39.87,77.88,5.1,333.9,94.42,47.75,1
38.01,60.4,19.56,481.36,60.1,70.11,0
38.49,58.19,21.78,456.77,63.65,58.38,0
39.12,62.39,23.45,460.77,69.45,64.72,0
39.42,85.89,7.03,406.83,86.97,39.05,1
38.28,63.51,24.74,486.72,67.28,68.74,0
38.15,49.22,20.18,473.43,71.56,63.55,0
38.96,54.46,22.6,466.28,65.21,60.66,0
38.4,67.12,28.29,491.64,76.37,71.88,0
39.56,76.33,8.38,414.95,77.23,58.81,1
39.69,62.31,13.28,429.0,86.8,35.49,1
38.79,68.24,21.18,366.44,66.72,64.28,0
37.93,54.66,23.71,522.61,66.04,70.3,0
40.45,66.99,10.88,370.3,76.86,14.51,1
38.97,41.1,21.91,397.4,58.77,67.78,0
40.7,92.78,4.84,396.25,79.62,32.31,1
39.43,64.31,24.11,464.0,67.71,84.59,0
39.35,72.23,2.53,406.03,65.5,30.4,1
41.07,81.77,5.08,407.84,106.49,32.03,1
39.92,75.34,7.11,391.68,94.44,26.36,1
38.31,55.18,14.41,463.51,72.54,75.25,0
38.55,55.2,26.15,450.68,68.17,65.98,0
38.74,56.37,20.12,515.25,61.66,69.93,0
39.25,82.67,10.95,398.19,78.11,23.9,1
38.97,54.77,23.4,483.44,68.84,78.18,0
38.51,57.25,20.19,521.0,67.01,63.06,0
39.78,77.84,9.29,501.07,86.43,53.33,1
38.9,67.6,17.08,515.65,66.26,70.87,0
37.96,52.8,23.6,507.62,72.87,65.69,0
39.83,79.08,9.92,393.41,88.36,29.99,1
38.62,49.51,22.98,473.67,69.06,66.75,0
38.39,56.07,21.88,460.69,69.83,71.51,0
41.25,75.61,14.07,493.06,73.18,33.14,1
39.0,65.27,24.7,501.64,72.49,71.99,0
39.53,68.37,6.48,372.89,75.38,38.49,1
38.78,52.35,23.31,436.31,73.89,80.66,0
38.55,56.37,25.14,467.12,69.01,82.83,0
38.9,68.42,25.54,440.29,67.65,73.24,0
38.95,56.55,21.44,467.78,68.39,77.36,0
40.42,82.49,13.52,399.34,98.53,35.9,1
38.3,51.31,18.15,441.49,63.1,85.04,0
38.51,60.35,16.26,418.29,61.79,73.94,0
38.69,58.31,20.65,492.98,65.15,63.49,0
39.73,64.0,12.91,490.86,86.86,43.35,1
39.41,78.9,15.09,477.34,77.91,56.39,1
38.54,61.54,17.98,527.67,64.59,64.31,0
40.14,73.47,5.92,396.49,94.66,24.22,1
38.49,59.29,21.93,470.56,70.94,79.02,0
38.53,64.47,14.2,458.62,75.0,42.24,1
38.76,67.14,21.71,513.51,72.1,67.14,0
40.38,64.76,12.68,450.98,81.8,25.78,1
39.09,58.37,26.72,446.63,63.74,66.7,0
38.17,52.22,22.77,512.93,69.55,62.74,0
38.92,65.75,18.43,486.38,66.35,89.94,0
38.6,59.9,20.32,504.94,63.11,77.6,0
40.42,60.32,12.67,426.68,108.0,37.28,1
40.42,88.16,6.05,374.3,72.3,40.93,1
38.72,75.51,33.78,438.72,67.15,78.05,0
41.43,84.13,4.02,454.44,73.85,66.13,1
39.52,73.45,10.41,449.06,86.88,40.56,1
39.33,66.12,12.28,431.04,65.57,25.57,1
38.76,56.14,21.72,469.75,65.37,80.45,0
38.39,54.85,26.69,433.95,62.72,63.15,0
39.34,100.0,8.61,461.21,93.72,42.17,1
38.31,72.23,23.37,464.09,68.78,72.88,0
40.16,73.49,13.24,385.13,69.24,34.1,1
39.28,76.05,8.53,418.66,84.92,38.31,1
37.82,65.67,14.54,417.16,64.57,62.45,0
40.04,80.97,15.48,468.22,113.01,39.67,1
39.49,71.21,10.86,440.1,98.34,40.42,1
38.89,59.55,23.42,568.5,67.29,79.78,0
38.83,68.19,23.87,497.17,64.17,72.23,0
40.0,78.03,17.69,388.66,84.25,64.02,1
39.13,57.47,17.86,512.81,69.16,78.62,0
38.96,60.96,19.22,447.48,67.38,64.99,0
40.66,57.28,11.85,448.15,88.63,48.5,1
39.74,74.54,11.39,352.56,89.41,55.55,1
39.25,72.21,5.28,404.08,69.71,39.32,1
39.32,67.42,14.85,360.79,84.0,45.73,1
38.31,60.92,23.81,490.54,68.81,65.58,0
38.77,72.11,23.88,476.5,76.37,93.6,0
38.21,50.21,22.79,435.44,70.65,71.67,0
39.06,89.29,5.61,369.47,82.14,60.93,1
40.25,75.11,6.68,366.11,90.74,32.6,1
38.77,70.25,21.81,469.61,70.08,87.01,0
38.33,59.34,25.82,459.63,64.9,76.96,0
38.53,78.55,21.31,482.93,61.3,64.77,0
39.64,84.44,17.39,475.02,89.4,49.29,1
41.17,72.93,9.14,414.0,86.82,40.41,1
38.57,52.23,24.94,486.29,77.5,84.62,0
40.08,69.99,8.38,512.72,94.7,34.03,1
38.47,64.01,22.58,480.78,57.23,79.83,0
38.71,78.11,13.3,392.41,106.17,30.43,1
38.78,72.39,21.55,467.87,75.06,71.32,0
38.26,55.54,23.69,503.86,72.34,61.93,0
38.49,67.83,21.36,489.72,71.58,88.42,0
39.15,80.95,14.81,421.87,81.61,40.38,1
40.2,78.83,5.02,511.81,72.5,40.11,1
38.32,53.32,16.95,450.03,69.54,85.79,0
38.65,56.28,18.97,438.52,60.61,72.53,0
38.27,55.72,24.06,545.19,64.72,76.16,0
40.01,62.93,12.63,459.05,88.25,55.04,1
39.07,81.83,6.0,419.54,100.79,37.03,1
40.15,73.41,9.86,406.01,87.07,30.28,1
40.69,53.59,5.4,447.17,98.49,40.26,1
37.91,54.81,20.49,447.56,73.83,75.88,0
39.5,82.17,11.71,376.42,76.62,53.37,1
38.4,56.45,24.58,506.59,66.53,73.7,0
38.74,59.97,25.07,442.3,68.39,84.02,0
38.58,47.22,17.27,455.46,59.87,79.7,0
38.34,70.99,27.24,471.31,72.47,63.78,0
39.61,76.62,6.31,428.2,95.61,34.04,1
38.0,64.07,17.36,365.81,73.75,76.5,0
39.01,72.5,6.4,387.83,84.96,42.61,1
38.57,85.1,22.33,467.04,73.24,78.94,0
37.82,76.5,28.66,479.11,68.9,79.04,0
38.75,47.96,24.2,446.15,63.46,72.84,0
38.37,69.75,9.67,411.58,99.94,50.13,1
38.52,66.46,22.64,551.95,69.09,74.67,0
38.6,73.29,22.13,456.12,73.17,73.85,0
41.43,84.39,15.57,366.3,91.87,35.92,1
38.51,64.13,23.36,404.41,67.25,56.59,0
38.79,62.39,20.12,457.98,76.18,69.01,0
39.46,66.71,19.61,575.53,71.99,89.03,0
39.83,87.43,1.35,423.47,78.29,32.81,1
40.12,73.2,12.78,350.96,82.14,35.56,1
38.17,66.23,23.16,457.76,73.14,73.23,0
39.1,84.38,5.9,376.57,87.37,28.28,1
38.1,63.81,18.79,489.07,68.76,65.78,0
39.08,69.3,21.43,492.47,65.19,73.58,0
39.72,80.34,16.66,389.47,79.32,17.73,1
38.62,59.2,27.27,500.61,79.38,97.24,0
39.7,80.93,3.9,505.3,88.63,35.21,1
40.85,68.97,17.39,429.83,96.75,52.1,1
37.87,76.19,23.52,457.34,68.15,87.48,0
38.83,58.33,18.66,498.86,61.13,72.89,0
37.86,52.77,20.18,547.15,73.13,67.91,0
39.66,70.13,0.0,437.33,98.83,44.83,1
39.94,76.54,4.2,461.49,77.87,47.96,1
37.94,63.89,21.06,408.54,75.07,76.68,0
38.65,60.17,21.53,502.85,69.56,88.93,0
39.84,77.04,10.68,404.94,71.88,55.88,1
39.31,97.26,9.35,470.31,97.1,47.31,1
40.14,85.57,12.5,457.66,88.89,47.02,1
38.88,53.93,18.12,467.78,65.15,80.49,0
37.93,69.5,20.5,471.03,70.08,94.99,0
38.14,45.85,27.06,541.12,72.22,64.13,0
38.47,54.87,24.68,485.83,73.93,66.21,0
38.57,57.08,24.55,480.32,64.71,53.3,0
38.53,60.87,22.51,466.11,73.92,64.5,0
37.58,57.07,23.38,451.81,80.94,72.48,0
40.0,82.8,9.66,424.01,90.5,43.52,1
38.17,58.19,18.82,466.14,66.71,71.9,0
38.49,52.63,19.08,499.45,73.76,78.6,0
39.15,73.36,24.54,492.78,68.16,75.59,0
40.61,64.7,8.44,502.4,81.08,50.96,1
39.92,82.19,9.17,422.48,92.55,34.68,1
38.9,52.77,22.11,503.62,67.82,83.78,0
40.11,94.98,9.15,337.51,81.02,63.44,1
39.35,93.74,12.47,449.8,85.55,68.0,1
40.32,73.64,14.27,409.45,101.01,59.26,1
38.45,63.23,15.29,505.35,64.79,80.55,0
39.23,74.48,12.64,370.63,63.46,41.14,1
39.67,66.32,13.92,394.49,85.33,38.38,1
40.86,80.13,10.87,370.19,87.74,39.77,1
39.44,72.81,9.59,447.24,99.04,47.06,1
38.36,58.82,21.36,456.88,65.51,89.44,0
38.4,67.35,21.85,405.93,66.88,85.42,0
39.3,82.78,7.39,461.3,99.19,15.26,1
39.65,84.77,13.59,450.85,69.73,19.92,1
38.96,64.44,18.54,456.13,68.16,58.01,0
38.8,56.52,25.89,438.41,70.7,77.71,0
38.95,59.52,9.04,383.34,86.06,44.17,1
38.05,67.17,17.81,405.63,72.38,92.57,0
40.56,75.85,14.88,388.25,69.3,25.38,1
39.86,61.81,4.96,453.15,80.94,17.97,1
40.26,69.36,21.07,441.51,94.95,46.27,1
38.7,57.17,22.66,487.79,60.59,70.05,0
38.58,50.16,21.73,507.25,74.46,88.45,0
38.24,66.4,24.63,475.57,64.14,69.51,0
39.08,51.88,27.86,457.17,66.41,79.3,0
40.55,63.41,16.95,384.91,90.69,32.26,1
40.17,84.46,10.08,361.68,91.6,41.62,1
38.48,50.21,19.31,448.43,73.23,81.19,0
38.52,47.07,26.42,464.47,65.51,81.56,0
38.48,58.13,23.2,538.08,69.03,74.53,0
38.18,65.3,27.43,455.43,70.5,73.27,0
38.93,50.09,24.16,391.27,67.23,70.65,0
38.07,56.51,21.72,420.64,66.11,73.1,0
39.32,60.91,21.16,566.8,76.92,65.9,0
38.67,63.7,20.45,506.61,76.36,58.16,0
40.79,90.56,12.28,407.77,89.84,38.79,1
38.34,57.75,24.46,494.52,72.87,89.3,0
38.49,65.95,23.28,444.51,62.43,70.55,0
40.21,75.98,7.17,343.45,81.82,37.41,1
38.83,62.55,18.61,463.33,61.35,67.96,0
38.6,62.03,24.85,413.56,62.72,81.49,0
40.23,85.1,15.66,412.4,72.34,49.82,1
38.85,60.41,21.27,557.81,63.04,82.72,0
39.12,64.87,29.09,514.89,74.8,62.93,0
40.22,62.41,13.92,463.94,83.91,58.25,1
38.81,65.39,23.66,472.18,65.88,72.35,0
38.35,66.67,19.5,502.03,80.75,83.16,0
38.52,69.6,25.6,440.27,72.04,72.61,0
39.77,71.0,14.11,430.51,91.25,59.25,1
39.24,54.83,17.88,523.01,65.79,77.06,0
38.53,62.59,23.69,515.5,69.96,71.45,0
40.97,70.38,8.8,395.2,98.64,43.51,1
38.63,65.37,21.36,382.94,68.75,70.02,0
39.85,73.9,13.57,435.09,81.29,44.94,1
39.3,74.16,12.86,433.13,73.22,39.99,1
39.13,69.11,9.39,440.46,86.65,38.16,1
38.59,74.36,19.37,503.7,67.57,76.31,0
38.86,71.87,24.05,466.19,56.48,87.86,0
40.51,86.79,4.59,420.1,79.37,41.6,1
38.11,56.42,25.74,448.75,65.86,68.48,0
39.28,72.36,15.59,449.28,89.08,41.42,1
39.21,73.1,5.7,409.74,78.16,62.01,1
38.53,45.0,26.55,495.83,64.5,73.27,0
41.1,80.94,12.94,330.4,83.31,44.76,1
39.21,74.57,3.56,463.23,87.62,42.44,1
39.15,47.86,21.69,438.16,68.51,79.74,0
38.04,72.27,20.31,527.72,70.96,70.56,0
38.45,60.17,20.92,545.74,63.77,82.04,0
41.24,100.0,12.16,463.56,106.16,41.13,1
39.15,52.36,27.71,500.68,61.01,64.24,0
38.59,76.11,21.87,490.29,67.43,69.61,0
39.98,85.88,11.58,467.46,73.85,25.5,1
39.48,57.85,20.25,481.82,64.45,81.14,0
39.8,99.9,15.12,410.26,84.11,55.57,1
38.59,55.11,25.79,479.63,80.86,70.13,0
39.1,48.61,19.55,520.86,67.47,63.78,0
40.08,57.55,11.96,399.51,81.68,13.84,1
37.99,47.43,18.12,454.8,62.74,71.69,0
39.45,79.83,3.59,478.72,80.7,34.48,1
39.02,60.02,18.22,500.85,66.97,74.63,0
39.66,67.64,8.57,397.69,82.34,47.54,1
38.76,60.98,20.36,561.99,61.02,67.46,0
38.44,72.35,15.37,397.05,88.98,36.77,1
40.24,85.99,9.62,442.74,89.09,45.43,1
39.32,72.02,13.76,481.25,69.26,38.0,1
38.27,37.02,24.56,449.1,64.7,74.64,0
40.5,60.78,11.48,396.91,89.75,27.01,1
39.54,68.3,9.23,434.04,100.08,58.69,1
38.58,62.59,23.37,403.53,71.0,72.34,0
38.0,64.71,17.9,450.86,66.98,76.12,0
38.85,47.08,21.23,500.25,61.49,77.86,0
37.99,56.87,15.62,487.68,76.35,71.86,0
38.22,56.38,19.5,459.51,63.79,80.86,0
38.48,51.46,21.52,452.44,72.19,79.22,0
37.93,55.12,23.75,486.31,66.9,80.93,0
38.41,65.94,25.29,498.57,70.82,74.51,0
38.27,48.26,27.39,510.65,68.49,64.59,0
38.02,63.2,18.73,544.35,72.14,70.16,0
39.25,60.16,17.36,517.81,68.22,81.83,0
38.77,63.43,18.71,463.4,67.93,67.82,0
38.39,57.45,22.77,523.89,69.2,70.97,0
38.86,43.97,20.43,402.02,66.37,63.15,0
40.34,71.82,2.93,373.77,80.03,31.38,1
39.67,79.53,8.3,390.44,91.67,40.2,1
38.24,56.28,20.42,514.38,61.92,73.18,0
38.79,67.72,25.6,563.73,77.8,72.48,0
38.2,85.54,24.44,456.84,70.52,69.56,0
38.5,60.12,20.38,420.92,60.22,66.34,0
39.62,88.58,7.92,364.75,84.4,38.51,1
39.11,71.16,18.11,383.13,87.45,41.48,1
39.17,79.15,3.02,394.38,76.49,69.3,1
38.0,62.47,19.28,459.01,71.65,70.44,0
39.01,59.38,21.04,487.95,70.0,77.65,0
39.99,64.74,16.67,429.18,72.33,38.07,1
40.66,86.19,3.85,464.67,66.17,26.44,1
38.94,55.66,22.75,520.24,60.41,78.69,0
38.41,50.87,19.54,423.39,65.6,73.52,0
38.28,50.55,21.99,424.49,56.96,75.17,0
38.26,69.19,20.05,545.62,65.77,63.49,0
38.77,81.52,9.74,442.55,94.33,39.95,1
39.05,68.64,27.11,467.27,62.63,79.08,0
41.49,74.58,1.49,385.77,78.45,35.72,1
38.47,59.84,19.33,522.81,69.28,87.32,0
38.11,52.75,13.28,470.04,67.14,72.88,0
38.22,60.72,16.74,563.92,71.45,78.31,0
39.98,79.82,5.35,454.81,87.74,40.64,1
38.55,62.58,24.75,460.47,62.87,71.5,0
40.7,72.22,7.53,457.03,80.4,35.59,1
38.74,59.29,19.41,528.26,70.15,79.17,0
39.93,81.32,10.13,465.81,60.08,25.29,1
38.65,61.52,21.44,459.41,58.01,78.13,0
38.09,60.81,17.9,488.67,70.9,86.57,0
40.3,87.47,8.22,392.96,81.3,36.64,1
39.42,60.94,2.63,384.82,84.88,42.71,1
39.63,63.18,8.79,369.27,83.17,59.91,1
39.98,91.74,16.42,409.08,85.95,44.04,1
38.07,77.26,21.84,438.3,69.43,61.17,0
38.62,70.49,11.31,399.72,73.35,51.82,1
37.5,51.77,22.7,429.2,63.94,77.18,0
38.14,58.62,22.11,520.07,75.64,67.93,0
38.26,55.49,21.88,448.0,61.04,79.04,0
39.33,65.94,20.17,499.19,68.57,85.77,0
39.25,89.22,9.27,381.4,99.34,63.01,1
39.44,80.07,11.09,425.33,79.47,37.66,1
39.57,82.54,16.71,448.66,91.93,36.39,1
38.29,61.24,16.43,539.87,72.69,67.05,0
38.97,58.93,22.78,436.11,71.05,74.26,0
40.81,90.84,11.67,478.53,83.4,28.63,1
38.31,50.31,28.82,452.83,68.92,87.84,0
40.16,77.91,11.78,382.87,81.53,38.61,1
38.7,49.97,19.76,435.91,61.63,73.5,0
39.78,72.34,8.26,404.14,90.95,19.8,1
37.82,65.98,20.16,475.71,64.69,83.69,0
37.82,59.15,26.48,487.98,69.05,69.56,0
38.4,67.58,20.5,561.68,68.97,77.59,0
38.54,65.68,22.29,461.81,67.03,53.37,0
38.89,56.27,27.96,482.4,60.09,74.08,0
38.7,68.97,24.32,449.55,59.29,78.5,0
39.36,66.23,6.98,450.46,77.07,38.76,1
38.7,48.39,21.62,481.82,71.06,83.4,0
40.57,81.2,18.69,407.6,88.14,32.66,1
38.28,69.98,22.81,509.39,66.76,68.11,0
39.2,50.99,23.72,509.28,55.34,75.26,0
38.65,63.01,23.02,441.65,67.87,82.57,0
